文件名         颜色数    迭代步数     耗时(s)    每秒迭代步数
DSJC125.1.col 5         980807       0.477000  2056199.161426
DSJC250.1.col 8         7279         0.014000  519928.571429
DSJC250.5.col 28        4815951      22.009000  218817.347449
DSJC250.9.col 72        6682176      39.867000  167611.708932
DSJC500.1.col 12        175198332    287.904000  608530.385128
DSJC500.5.col 50        2308646      19.953000  115704.204881
DSJC500.9.col 128       1656684      25.956000  63826.629681
DSJC1000.1.col 22       1738162      3.867000   449485.906387
DSJC1000.5.col 90       9535349      253.262000 37650.137012
DSJC1000.1.col 21        7864482      18.516000  424739.792612
DSJC1000.1.col 21        3291634      8.830000   372778.482446
DSJC500.5.col 50        3320924      32.069000  103555.583274
